ANO,TABELA_DICIONARIO,VARIAVEL_ORIGINAL,DESCRICAO_OFICIAL,NOTA_OFICIAL,DICIONARIO
2021,Cadastro_Escolas,NU_ANO_CENSO,Ano do Censo,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NO_REGIAO,Nome da região geográfica,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_REGIAO,Código da região geográfica,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NO_UF,Nome da Unidade da Federação,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,SG_UF,Sigla da Unidade da Federação,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_UF,Código da UF,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NO_MUNICIPIO,Nome do Município,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_MUNICIPIO,Código do Município,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NO_MESORREGIAO,Nome da Mesorregião,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_MESORREGIAO,Código da Mesorregião,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NO_MICRORREGIAO,Nome da Microrregião,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_MICRORREGIAO,Código da Microrregião,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_DISTRITO,Código completo do Distrito da escola,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,CO_ENTIDADE,Código da Escola,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NO_ENTIDADE,Nome da Escola,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,TP_DEPENDENCIA,Dependência Administrativa,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,TP_CATEGORIA_ESCOLA_PRIVADA,Categoria da escola privada,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,TP_LOCALIZACAO,Localização,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,TP_LOCALIZACAO_DIFERENCIADA,Localização diferenciada da escola,"De 2007 a 2011:  
0 - Não se aplica
1 - Área de assentamento
2 - Terra indígena
3 - Área remanescente de quilombos
De 2012 a 2018:  
0 - A escola não está em área de localização diferenciada
1 - Área de assentamento
2 - Terra indígena
3 - Área remanescente de quilombos
4 - Unidade de uso sustentável
5 - Unidade de uso sustentável em terra indígena
6 - Unidade de uso sustentável em área 
remanescente de quilombos",dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,DS_ENDERECO,Endereço,,dicionário_dados_educação_básica_2021.xlsx
2021,Cadastro_Escolas,NU_ENDERECO,Número,,dicionário_dados_educação_básica_2021.xlsx
