VARIAVEL_PADRAO,ANO,VARIAVEL_ORIGINAL,STATUS_COMPATIBILIDADE,DESCRICAO_OFICIAL,OBSERVACAO
NU_ANO_CENSO,2021,NU_ANO_CENSO,COMPATIVEL,Ano do Censo,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NU_ANO_CENSO,2022,NU_ANO_CENSO,COMPATIVEL,Ano do Censo,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NU_ANO_CENSO,2023,NU_ANO_CENSO,COMPATIVEL,Ano do Censo,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NU_ANO_CENSO,2024,NU_ANO_CENSO,COMPATIVEL,Ano do Censo,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NU_ANO_CENSO,2025,NU_ANO_CENSO,COMPATIVEL,Ano do Censo,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_REGIAO,2021,NO_REGIAO,COMPATIVEL,Nome da região geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_REGIAO,2022,NO_REGIAO,COMPATIVEL,Nome da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_REGIAO,2023,NO_REGIAO,COMPATIVEL,Nome da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_REGIAO,2024,NO_REGIAO,COMPATIVEL,Nome da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_REGIAO,2025,NO_REGIAO,COMPATIVEL,Nome da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_REGIAO,2021,CO_REGIAO,COMPATIVEL,Código da região geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_REGIAO,2022,CO_REGIAO,COMPATIVEL,Código da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_REGIAO,2023,CO_REGIAO,COMPATIVEL,Código da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_REGIAO,2024,CO_REGIAO,COMPATIVEL,Código da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_REGIAO,2025,CO_REGIAO,COMPATIVEL,Código da Região Geográfica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_UF,2021,NO_UF,COMPATIVEL,Nome da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_UF,2022,NO_UF,COMPATIVEL,Nome da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_UF,2023,NO_UF,COMPATIVEL,Nome da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_UF,2024,NO_UF,COMPATIVEL,Nome da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_UF,2025,NO_UF,COMPATIVEL,Nome da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
SG_UF,2021,SG_UF,COMPATIVEL,Sigla da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
SG_UF,2022,SG_UF,COMPATIVEL,Sigla da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
SG_UF,2023,SG_UF,COMPATIVEL,Sigla da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
SG_UF,2024,SG_UF,COMPATIVEL,Sigla da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
SG_UF,2025,SG_UF,COMPATIVEL,Sigla da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_UF,2021,CO_UF,EQUIVALENCIA PARCIAL,Código da UF,Mesmo codigo; descricao/estrutura historica requer cautela.
CO_UF,2022,CO_UF,COMPATIVEL,Código da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_UF,2023,CO_UF,COMPATIVEL,Código da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_UF,2024,CO_UF,COMPATIVEL,Código da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_UF,2025,CO_UF,COMPATIVEL,Código da Unidade da Federação,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_MUNICIPIO,2021,NO_MUNICIPIO,COMPATIVEL,Nome do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_MUNICIPIO,2022,NO_MUNICIPIO,COMPATIVEL,Nome do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_MUNICIPIO,2023,NO_MUNICIPIO,COMPATIVEL,Nome do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_MUNICIPIO,2024,NO_MUNICIPIO,COMPATIVEL,Nome do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_MUNICIPIO,2025,NO_MUNICIPIO,COMPATIVEL,Nome do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_MUNICIPIO,2021,CO_MUNICIPIO,COMPATIVEL,Código do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
