ORIGEM,DESTINO,ESCOLAS,INDICADOR,ANO_ORIGEM,ANO_DESTINO
Baixa,Baixa,26309,IMDE_HISTORICO_COMPATIVEL,2021,2022
Baixa,Media,7929,IMDE_HISTORICO_COMPATIVEL,2021,2022
Baixa,Alta,2367,IMDE_HISTORICO_COMPATIVEL,2021,2022
Media,Baixa,22246,IMDE_HISTORICO_COMPATIVEL,2021,2022
Media,Media,29441,IMDE_HISTORICO_COMPATIVEL,2021,2022
Media,Alta,6263,IMDE_HISTORICO_COMPATIVEL,2021,2022
Alta,Baixa,2056,IMDE_HISTORICO_COMPATIVEL,2021,2022
Alta,Media,13413,IMDE_HISTORICO_COMPATIVEL,2021,2022
Alta,Alta,42600,IMDE_HISTORICO_COMPATIVEL,2021,2022
Baixa,Baixa,40933,IMDE_HISTORICO_COMPATIVEL,2022,2023
Baixa,Media,6937,IMDE_HISTORICO_COMPATIVEL,2022,2023
Baixa,Alta,2278,IMDE_HISTORICO_COMPATIVEL,2022,2023
Media,Baixa,5851,IMDE_HISTORICO_COMPATIVEL,2022,2023
Media,Media,39256,IMDE_HISTORICO_COMPATIVEL,2022,2023
Media,Alta,5636,IMDE_HISTORICO_COMPATIVEL,2022,2023
Alta,Baixa,1268,IMDE_HISTORICO_COMPATIVEL,2022,2023
Alta,Media,4638,IMDE_HISTORICO_COMPATIVEL,2022,2023
Alta,Alta,45041,IMDE_HISTORICO_COMPATIVEL,2022,2023
Baixa,Baixa,43219,IMDE_HISTORICO_COMPATIVEL,2023,2024
Baixa,Media,6882,IMDE_HISTORICO_COMPATIVEL,2023,2024
Baixa,Alta,2009,IMDE_HISTORICO_COMPATIVEL,2023,2024
Media,Baixa,6102,IMDE_HISTORICO_COMPATIVEL,2023,2024
Media,Media,40924,IMDE_HISTORICO_COMPATIVEL,2023,2024
Media,Alta,5394,IMDE_HISTORICO_COMPATIVEL,2023,2024
Alta,Baixa,1495,IMDE_HISTORICO_COMPATIVEL,2023,2024
Alta,Media,5038,IMDE_HISTORICO_COMPATIVEL,2023,2024
Alta,Alta,46726,IMDE_HISTORICO_COMPATIVEL,2023,2024
Baixa,Baixa,39261,IMDE_HISTORICO_COMPATIVEL,2024,2025
Baixa,Media,10156,IMDE_HISTORICO_COMPATIVEL,2024,2025
Baixa,Alta,2835,IMDE_HISTORICO_COMPATIVEL,2024,2025
Media,Baixa,10069,IMDE_HISTORICO_COMPATIVEL,2024,2025
Media,Media,36068,IMDE_HISTORICO_COMPATIVEL,2024,2025
Media,Alta,7151,IMDE_HISTORICO_COMPATIVEL,2024,2025
Alta,Baixa,1415,IMDE_HISTORICO_COMPATIVEL,2024,2025
Alta,Media,7576,IMDE_HISTORICO_COMPATIVEL,2024,2025
Alta,Alta,44986,IMDE_HISTORICO_COMPATIVEL,2024,2025
Baixa,Baixa,48142,ALUNOS_TURMA,2021,2022
Baixa,Media,8116,ALUNOS_TURMA,2021,2022
Baixa,Alta,566,ALUNOS_TURMA,2021,2022
Media,Baixa,8431,ALUNOS_TURMA,2021,2022
Media,Media,42840,ALUNOS_TURMA,2021,2022
Media,Alta,7450,ALUNOS_TURMA,2021,2022
Alta,Baixa,578,ALUNOS_TURMA,2021,2022
Alta,Media,7625,ALUNOS_TURMA,2021,2022
Alta,Alta,50766,ALUNOS_TURMA,2021,2022
Baixa,Baixa,48983,ALUNOS_TURMA,2022,2023
Baixa,Media,7243,ALUNOS_TURMA,2022,2023
Baixa,Alta,484,ALUNOS_TURMA,2022,2023
Media,Baixa,7823,ALUNOS_TURMA,2022,2023
Media,Media,44027,ALUNOS_TURMA,2022,2023
Media,Alta,6879,ALUNOS_TURMA,2022,2023
Alta,Baixa,469,ALUNOS_TURMA,2022,2023
Alta,Media,7098,ALUNOS_TURMA,2022,2023
Alta,Alta,51446,ALUNOS_TURMA,2022,2023
Baixa,Baixa,49689,ALUNOS_TURMA,2023,2024
Baixa,Media,7223,ALUNOS_TURMA,2023,2024
Baixa,Alta,296,ALUNOS_TURMA,2023,2024
Media,Baixa,7174,ALUNOS_TURMA,2023,2024
Media,Media,45052,ALUNOS_TURMA,2023,2024
Media,Alta,6671,ALUNOS_TURMA,2023,2024
Alta,Baixa,500,ALUNOS_TURMA,2023,2024
Alta,Media,6426,ALUNOS_TURMA,2023,2024
Alta,Alta,52168,ALUNOS_TURMA,2023,2024
Baixa,Baixa,48932,ALUNOS_TURMA,2024,2025
Baixa,Media,7029,ALUNOS_TURMA,2024,2025
Baixa,Alta,460,ALUNOS_TURMA,2024,2025
Media,Baixa,7743,ALUNOS_TURMA,2024,2025
Media,Media,44385,ALUNOS_TURMA,2024,2025
Media,Alta,6694,ALUNOS_TURMA,2024,2025
Alta,Baixa,576,ALUNOS_TURMA,2024,2025
Alta,Media,7045,ALUNOS_TURMA,2024,2025
Alta,Alta,51600,ALUNOS_TURMA,2024,2025
