SG_UF,MATRICULAS,ESCOLAS,DOCENTES,TURMAS,IMDE,INDICE_ACESSIBILIDADE,IPI,DIVERSIDADE_RACIAL,ALUNOS_DOCENTE,ALUNOS_TURMA
AM,1131739.0,5562,65856.0,53769.0,65.2720106556763,19.65337193469519,71.96777802429295,20.82290812481547,17.185055272108844,21.048169019323403
AP,212026.0,875,13050.0,10491.0,60.730024287831384,25.062433380811786,70.9259572826716,33.33312653946317,16.247203065134098,20.210275474215994
PA,2146239.0,10530,117327.0,101737.0,64.34789521577005,23.577453396383163,70.8558051362771,29.53852663804229,18.292797054386458,21.095953291329604
AC,242727.0,1524,12889.0,12424.0,63.47012431493116,21.445904246334358,70.66578192047247,30.8549786336024,18.83210489564745,19.536944623309722
AL,831546.0,2882,46701.0,37160.0,72.45519669918785,28.396083920793316,68.41740032210362,34.524528627459866,17.805742917710543,22.37744886975242
RR,186395.0,915,10685.0,9213.0,73.37480274612334,25.623742589661738,67.35245930008972,31.927697151788596,17.444548432381843,20.231737761858245
PE,2076655.0,7992,110299.0,96421.0,73.62445652490803,30.30632796492436,66.58045602125024,41.651659388573854,18.82750523576823,21.537372564067994
DF,620272.0,1332,34683.0,29560.0,72.84235786880595,39.11082557329688,66.45352799425204,47.890191995675416,17.884035406395064,20.983491204330175
MA,1821863.0,11219,130782.0,92306.0,64.12075719474234,22.247926984630567,65.60068931443901,29.272834355139878,13.930533253811687,19.737211015535284
RO,376264.0,1220,19038.0,17291.0,80.0066774002655,33.26962584780898,65.0884867887525,42.828610874550414,19.763840739573485,21.76068474929154
GO,1526256.0,4752,75976.0,67228.0,80.32381155907035,39.22732326687004,64.89171370361348,44.620651470631664,20.088659576708434,22.702683405723807
BA,3345058.0,16106,198930.0,165072.0,73.59964012323968,26.54475647357983,64.71333045091886,40.928714908376605,16.81525159603881,20.264236212077154
CE,2108135.0,7716,136005.0,96103.0,74.62876141418425,29.803606030923067,63.89667392894102,32.330798437013,15.500422778574316,21.936203864603602
RJ,3319771.0,11647,226660.0,156695.0,74.55023629413817,32.18740840859204,63.69191883571033,53.31743495517358,14.646479308214948,21.186196113468842
PB,942549.0,4636,60831.0,46329.0,67.19644365986343,29.0582107667612,63.62106460117887,38.62853886886583,15.494550475908666,20.34468691316454
MS,675479.0,1859,49351.0,30891.0,77.27554972930137,40.42716353876286,63.506371160703246,46.39522309099518,13.687240380134142,21.866530704736007
PI,823199.0,4017,65064.0,40530.0,66.62895772719493,26.602483117690863,62.72945298971081,33.05279084631835,12.652142505840404,20.310856155933877
RN,756434.0,3416,46010.0,36572.0,75.53488146132919,35.88849126295222,62.63558751185334,45.053545096908096,16.440643338404694,20.683419009077983
SP,9600318.0,30817,601999.0,441414.0,83.6266828485833,27.774000559148146,62.48729703696282,43.01599091274479,15.947398583718577,21.749011132406313
MT,888828.0,2710,46056.0,41823.0,81.49002905254845,35.36113004990842,62.32453749470608,36.98768213604439,19.298853569567484,21.2521339932573
TO,380768.0,1581,22777.0,18727.0,79.04897936616177,30.324337917051853,62.12414890569971,38.610127816058785,16.717214734161654,20.33256795001869
SE,520379.0,2004,31836.0,24992.0,78.45136320400694,35.01272630140724,61.5966574737418,34.69444462619915,16.345615027013444,20.821822983354675
MG,4220829.0,15910,303371.0,208203.0,78.88414744157953,31.618394751362825,61.569128852847264,47.231853509021946,13.913093209304778,20.272661777207823
ES,867017.0,3046,63729.0,40541.0,82.03061114790938,39.05494355935351,59.82397035120577,47.75035724511649,13.60474823078975,21.386176956661156
SC,1769938.0,6750,137952.0,96715.0,82.54733590812178,38.45226499459303,58.50581413090034,31.977323778240578,12.830100324750639,18.300553171690016
PR,2438428.0,9576,202727.0,136720.0,79.69048462427878,40.51359625955739,55.24569175311537,39.07709262533342,12.028136360721561,17.83519602106495
RS,2189237.0,9945,161455.0,125046.0,82.05740929789224,35.58060411001641,54.77499051904146,30.939326291619047,13.559425226843393,17.507453257201348
